Account,Tweet text,Date,Positive Score,Negative Score,Neutral Score,Compound Score
The New York Times,RT @ronlieber: This is actually happening folks. Didn't think it would. No income caps. With some goodies thrown in for the homeschooling c…,Sat Dec 16 12:02:05 +0000 2017,0.0,0.091,0.909,-0.296
The New York Times,City Kitchen: A Different Kind of Christmas Dinner: Spicy Shrimp Stir-Fry https://t.co/lWCQ1s8Wyu,Sat Dec 16 11:46:34 +0000 2017,0.0,0.0,1.0,0.0
The New York Times,The best dance of 2017 https://t.co/3aSby41Wo3,Sat Dec 16 11:37:54 +0000 2017,0.457,0.0,0.543,0.6369
The New York Times,The SAG Awards are addressing #MeToo in a way no awards show has yet: with an all-female lineup of presenters https://t.co/YLw3oGX4KH,Sat Dec 16 11:19:00 +0000 2017,0.238,0.087,0.675,0.5859
The New York Times,"RT @nytimesbooks: Jason Segel cannot find a book to recommend to the current president, even as a joke. ""I just can’t find humor in the sit…",Sat Dec 16 11:02:01 +0000 2017,0.245,0.0,0.755,0.7003
The New York Times,A Word With: Zendaya Doesn’t Need a Safety Net https://t.co/hsAhgPY15O,Sat Dec 16 10:52:40 +0000 2017,0.286,0.0,0.714,0.4215
The New York Times,"1,000 Miles, Four Families, One Christmas Tree https://t.co/pNmfwAnL2a",Sat Dec 16 10:50:01 +0000 2017,0.0,0.0,1.0,0.0
The New York Times,"The strawberries are fine. The avocados and lemons, not so much. https://t.co/Wh3uEZcTUa",Sat Dec 16 10:44:37 +0000 2017,0.141,0.0,0.859,0.2023
The New York Times,These are the best. And the crispiest. Make them. You’ll be so happy. https://t.co/Q9tulDGMeJ,Sat Dec 16 10:26:08 +0000 2017,0.427,0.0,0.573,0.8733
The New York Times,"RT @nytimesbusiness: Day 1: The tree farm ?
Days 2 and 3: The truck  ? 
Day 4: The tree lot ?
Day 5: The home ?
https://t.co/dxoaEoxPHI htt…",Sat Dec 16 10:07:06 +0000 2017,0.0,0.0,1.0,0.0
The New York Times,"In Italy, #MeToo Is More Like ‘Meh’ https://t.co/JVUzpzzDgc",Sat Dec 16 09:38:29 +0000 2017,0.285,0.0,0.715,0.4201
The New York Times,"""More aggressive redistribution through taxes and transfers has spared Europe from the acute disparities that Ameri… https://t.co/F5mIHgpo1n",Sat Dec 16 09:34:39 +0000 2017,0.0,0.106,0.894,-0.2247
The New York Times,The 54 best songs of 2017 https://t.co/tVq2sYw8cf https://t.co/BzwzRfHCa9,Sat Dec 16 09:15:55 +0000 2017,0.375,0.0,0.625,0.6369
The New York Times,How to Avoid a White-Knuckle Drive on Black Ice https://t.co/skfzf7pMI6,Sat Dec 16 08:58:59 +0000 2017,0.0,0.216,0.784,-0.296
The New York Times,Paleontologists have found entombed in amber a 99-million year old tick grasping the feather of a dinosaur https://t.co/kXO8E27MBE,Sat Dec 16 08:56:31 +0000 2017,0.0,0.0,1.0,0.0
The New York Times,How much is the Arctic warming? Enough to confuse a computer. https://t.co/f5U86xSxBa,Sat Dec 16 08:37:57 +0000 2017,0.128,0.152,0.72,-0.0772
The New York Times,"Beyond Boko Haram’s Reach, Love and Feminism Flourish https://t.co/IHSMot5Wnz",Sat Dec 16 08:19:21 +0000 2017,0.431,0.0,0.569,0.6486
The New York Times,The best albums of 2017 https://t.co/fwuf1pMl5h,Sat Dec 16 08:19:19 +0000 2017,0.457,0.0,0.543,0.6369
The New York Times,RT @motokorich: Who are the Rocket Men of North Korea? https://t.co/W7OT2hWReM,Sat Dec 16 08:02:05 +0000 2017,0.0,0.0,1.0,0.0
The New York Times,The Reckoning: Women and power in the workplace https://t.co/U63ff6H8LV https://t.co/f0PwaRDHM5,Sat Dec 16 07:42:02 +0000 2017,0.0,0.0,1.0,0.0
The New York Times,The streaming landscape after Disney's deal https://t.co/RTNNx2N9lX,Sat Dec 16 07:23:38 +0000 2017,0.0,0.0,1.0,0.0
The New York Times,"The Great Red Spot is 10,000 miles wide and now scientists know that it dives at least 200 miles into Jupiter https://t.co/NtGJA9KPFR",Sat Dec 16 07:05:16 +0000 2017,0.163,0.0,0.837,0.6249
The New York Times,"RT @hfairfield: 30 years ago, a single oil well was drilled in Alaska's Arctic Refuge. It was removed after less than 2 years, but you can…",Sat Dec 16 06:47:04 +0000 2017,0.063,0.0,0.937,0.1406
The New York Times,Across the U.S. many brides and grooms are forgoing tradition by appointing mixed-gender wedding parties https://t.co/obDsEEnKRc,Sat Dec 16 06:32:03 +0000 2017,0.153,0.0,0.847,0.4019
The New York Times,"The dad on BBC, the kid with a knife and an anguished cameraman were among the internet’s best moments of the year https://t.co/SVmwuJti17",Sat Dec 16 06:13:53 +0000 2017,0.156,0.104,0.741,0.34
The New York Times,"Our photojournalist took a 3-month, 12,000-mile journey through Australia’s outback. Here's what he saw.… https://t.co/EvqPcug2If",Sat Dec 16 05:54:41 +0000 2017,0.0,0.0,1.0,0.0
The New York Times,"Our tracking needle, both loved and loathed, returned for Alabama’s Senate vote. Our editors tell its story. https://t.co/enVksaI06L",Sat Dec 16 05:36:36 +0000 2017,0.17,0.135,0.696,0.2023
The New York Times,RT @nytimesworld: A British surgeon pleaded guilty to assault after he was discovered to have signed his initials on two patients’ livers h…,Sat Dec 16 05:17:01 +0000 2017,0.0,0.248,0.752,-0.765
The New York Times,"Climate change made the torrential rains that flooded Houston after Hurricane Harvey much worse, scientists reported https://t.co/m6lQdkDfHv",Sat Dec 16 05:02:05 +0000 2017,0.0,0.162,0.838,-0.4767
The New York Times,Here are the details for each environmental policy that the Trump administration has targeted https://t.co/FveOaixWhH,Sat Dec 16 04:47:05 +0000 2017,0.0,0.0,1.0,0.0
The New York Times,One of Trump's judicial nominees was unable to answer basic legal questions during a Senate hearing https://t.co/9EbSSvCVOF,Sat Dec 16 04:32:01 +0000 2017,0.091,0.0,0.909,0.128
The New York Times,The best performances of 2017 https://t.co/ddZlVRlIHP,Sat Dec 16 04:22:06 +0000 2017,0.457,0.0,0.543,0.6369
The New York Times,"RT @nytpolitics: Fact Check: In a speech to law enforcement, President Trump misrepresented crime data, Obama-era policing policy and how t…",Sat Dec 16 04:12:04 +0000 2017,0.0,0.156,0.844,-0.5423
The New York Times,Peru’s president could soon be ousted by lawmakers in a scandal that’s roiled Latin America https://t.co/NG4w4bzemC,Sat Dec 16 04:02:05 +0000 2017,0.0,0.172,0.828,-0.4404
The New York Times,Vietnam '67: The Kindergarten Marines https://t.co/2C7wCfHWTK,Sat Dec 16 03:54:15 +0000 2017,0.0,0.0,1.0,0.0
The New York Times,RT @andrewkeh: Many prisons in Italy have begun arranging soccer games designed to strengthen positive bonds between inmates and their youn…,Sat Dec 16 03:47:05 +0000 2017,0.237,0.0,0.763,0.7096
The New York Times,"An NBA team in Mexico City? ""Now. We are ready now,"" says the mayor. https://t.co/dyerB6UkPm",Sat Dec 16 03:32:09 +0000 2017,0.152,0.0,0.848,0.3612
The New York Times,"Alaska's permafrost is no longer permanent. It is starting to thaw. https://t.co/9uPVeWNUxT

@hfairfield, climate e… https://t.co/xo44Yfq0ax",Sat Dec 16 03:17:02 +0000 2017,0.0,0.128,0.872,-0.296
The New York Times,What’s in the final Republican tax bill https://t.co/Jgv8OPKkT6,Sat Dec 16 03:02:06 +0000 2017,0.0,0.0,1.0,0.0
The New York Times,Anita Hill will lead a Hollywood commission to combat sexual harassment in the media and entertainment industries https://t.co/7jLEnEM6Dm,Sat Dec 16 02:47:04 +0000 2017,0.123,0.26,0.617,-0.4767
The New York Times,RT @maggieNYT: The theatrical end of Omarosa’s tenure. @katierogers and me  https://t.co/2xTy9OoLRS,Sat Dec 16 02:32:04 +0000 2017,0.0,0.0,1.0,0.0
The New York Times,"Marina Popovich, the first Soviet female pilot to break the sound barrier, has died https://t.co/LBNGXzRae4",Sat Dec 16 02:17:05 +0000 2017,0.0,0.282,0.718,-0.6249
The New York Times,Evening Briefing: Here's what you need to know at the end of the day https://t.co/XJIT5Yrp9g,Sat Dec 16 02:02:06 +0000 2017,0.0,0.0,1.0,0.0
The New York Times,"""Is my Netflix going to start sputtering?"" ""Will my internet service bill go up?"" https://t.co/MN821dTxzN",Sat Dec 16 01:47:04 +0000 2017,0.0,0.0,1.0,0.0
The New York Times,RT @EricLiptonNYT: NYT SCOOP: EPA contractor hired by Pruitt has spent year searching for Deep State resistance types inside the EPA https:…,Sat Dec 16 01:32:03 +0000 2017,0.1,0.0,0.9,0.3254
The New York Times,"13 great titles expiring from Netflix in January
https://t.co/0gQyq5vxeg",Sat Dec 16 01:17:02 +0000 2017,0.339,0.0,0.661,0.6249
The New York Times,"They are known by nicknames such as the ""nuclear duo"" and the ""missile quartet."" A look at the team building North… https://t.co/IPOMi4UICX",Sat Dec 16 01:02:08 +0000 2017,0.0,0.0,1.0,0.0
The New York Times,“The bad news is we’re not quite as special as we thought we were. But the good news is we may have a lot of cosmic… https://t.co/dfd2ccPl7l,Sat Dec 16 00:49:46 +0000 2017,0.091,0.187,0.722,-0.4703
The New York Times,"Before seeing ""The Last Jedi,"" you may have some questions. We're here to help. https://t.co/RNHTM3DmeH https://t.co/JWNH2L1Jq5",Sat Dec 16 00:30:21 +0000 2017,0.153,0.0,0.847,0.4019
The New York Times,"RT @nytimesarts: ""It was the first time I had ever seen a naked man,"" one woman told Variety about Dustin Hoffman. She was 16 years old at…",Sat Dec 16 00:17:04 +0000 2017,0.0,0.0,1.0,0.0
The New York Times,The 60 environmental rules that are on the way out under Trump https://t.co/GcOzZo8tzZ,Sat Dec 16 00:02:03 +0000 2017,0.0,0.0,1.0,0.0
The New York Times,A Kansas woman is ending her congressional campaign after she was accused of sexually harassing a former subordinate https://t.co/P59gEC2CpE,Fri Dec 15 23:47:05 +0000 2017,0.0,0.275,0.725,-0.6908
The New York Times,Evening Briefing: Here's what you need to know at the end of the day https://t.co/6EyApHsh3M,Fri Dec 15 23:32:03 +0000 2017,0.0,0.0,1.0,0.0
The New York Times,RT @TheSteinLine: Here's an @NYTSports deep dive into why the NBA is exploring Mexico City's viability as the future home of a franchise mo…,Fri Dec 15 23:17:06 +0000 2017,0.0,0.0,1.0,0.0
The New York Times,"30 years ago, a single oil well was drilled in Alaska's Arctic Refuge. Satellite images show how it altered the tun… https://t.co/CQVwKmtMYt",Fri Dec 15 23:02:03 +0000 2017,0.095,0.0,0.905,0.2732
The New York Times,"The dad on BBC, the kid with a knife and an anguished cameraman were among the internet’s best moments of the year https://t.co/I4MYdDQnMk",Fri Dec 15 22:47:11 +0000 2017,0.156,0.104,0.741,0.34
The New York Times,"RT @jonathanweisman: House Intel Committee Republicans have scheduled critical Russia interviews in New York next week, giving Dems choice:…",Fri Dec 15 22:32:06 +0000 2017,0.111,0.106,0.783,0.0258
